x,y,z,rx,ry,rz
2441.5048,1667.1769,390.7169,45.4378,-70.8594,-166.2885
3150.6443,1891.9505,966.3835,-9.8331,-72.9314,-170.8447
2465.2494,2168.8309,430.8796,29.1418,-68.2961,170.1653
2739.6822,1846.5049,378.2,27.3216,-58.6923,178.8971
2678.0087,2039.1367,398.1841,53.3894,-74.8418,138.1229
2917.66,1938.0368,409.1033,33.0514,-66.0454,-175.4042
2884.7218,2242.0578,663.4291,13.8196,-68.3291,-169.4487
2912.7181,2453.0339,583.2524,16.9767,-66.8398,164.4533
2913.1192,1843.2612,696.5969,57.5926,-83.6794,135.4522
2891.887,2168.7773,871.964,1.1082,-84.0814,-154.4068
2969.8709,1845.7302,724.8186,15.453,-72.3105,154.5857
2439.2546,2062.9262,930.8272,-5.9729,-74.4252,-120.5632
2924.924,2502.6174,818.6493,2.5955,-60.2764,-178.2301
2676.6014,2077.8587,630.1197,14.9622,-64.9392,163.19
2689.026,2022.2724,828.4799,4.2353,-74.0972,-170.2642
2819.709,2414.8671,978.6569,-13.0865,-79.9942,-155.2257
3110.8687,2048.2228,656.79,19.5094,-71.4629,171.6077
2761.8302,1948.8353,845.7807,9.2837,-84.7518,-174.7212
2412.2806,2272.6473,668.8535,12.8426,-68.9363,-150.0044
2518.1482,1804.2756,663.6611,12.3535,-60.9373,-155.7555
2533.1105,2258.2744,620.5136,30.0154,-78.18,-177.4174
3081.7031,1877.0897,768.6628,16.0839,-78.8097,-164.7093
2788.0638,2372.1837,1011.2698,-20.4452,-80.5441,-144.4207
2487.1429,1754.8456,756.8745,25.5165,-81.8316,176.0958
2665.346,1780.9591,610.1574,34.0131,-76.1868,-163.1818
2607.6126,1892.3372,788.6274,33.6662,-85.7776,-167.4462
2686.4502,2058.284,611.1031,15.0062,-62.9717,-161.3705
2466.254,1772.7776,681.3584,12.236,-62.9017,-170.3053
2714.82,2225.8572,496.0451,39.4629,-75.8277,-172.5296
2645.3365,1904.7531,994.4646,-16.9073,-77.9757,-163.9668
2748.9064,2271.5024,889.7838,-1.0367,-72.2393,-133.9006
2357.3921,2062.7694,806.0031,6.6195,-75.5207,-150.2888
2767.0635,2237.8713,570.399,26.1164,-73.3685,-156.7453
2836.9922,1969.9428,405.0857,27.7322,-62.132,-171.2536
2633.2947,2265.6173,902.6828,-0.9239,-61.2074,-179.9109
3060.8276,2130.7483,877.414,0.9808,-88.8053,-168.8361
2956.6169,2334.3194,736.8998,66.2639,-86.4809,148.2266
2700.4349,1803.1516,994.8558,-9.8615,-67.8304,-141.3845
3019.8547,2249.2328,535.4783,24.5244,-69.4114,172.4965
2350.6383,2219.6292,641.2234,13.4151,-66.148,178.1259
2924.6555,2138.1654,433.3545,40.9337,-72.9432,179.3388
2910.8422,1803.7741,507.3679,40.6929,-73.1399,-172.8675
2922.6108,2415.8584,638.8516,65.1047,-84.1788,159.083
2548.9688,2163.3577,609.0539,87.74,-83.6154,101.115
2791.1278,2359.7805,520.3498,84.7995,-81.8465,84.4347
2859.5974,2312.3553,895.9438,-1.9488,-74.6055,-141.9481
2594.0664,1769.7553,952.2364,-8.5403,-72.8728,-116.8853
2529.0749,2251.0191,619.4974,34.5237,-79.515,154.0685
2810.8524,2069.9553,447.9639,92.8047,-79.0254,104.9491
2381.8218,2010.6283,450.3843,85.3463,-79.5916,126.0561
